Group,Block,Slide,Row,Sx,D/V,PCNA +ve,oblate,prolate,Sphericity,Volume,Total nuclei,Total PCNA
ATG MO,1,1,1,,D,84,0.416,0.435,0.656,128.684,1385,123
ATG MO,1,1,1,,V,39,0.36,0.494,0.675,126.379,,
ATG MO,1,1,2,,D,54,0.412,0.435,0.688,121.617,1200,109
ATG MO,1,1,2,,V,55,0.418,0.433,0.706,121.798,,
ATG MO,1,1,4,,D,36,0.43,0.427,0.688,111.365,981,82
ATG MO,1,1,4,,V,46,0.385,0.441,0.696,97.396,,
ATG MO,1,1,5,,D,68,0.431,0.404,0.674,115.818,1277,107
ATG MO,1,1,5,,V,39,0.398,0.468,0.696,128.966,,
ATG MO,1,1,Misc,,D,95,0.401,0.449,0.7,115.563,1350,155
ATG MO,1,1,Misc,,V,60,0.449,0.385,0.696,119.076,,
ctrl MO,1,1,1,E-2,D,67,0.387,0.472,0.668,123.462,1788,122
ctrl MO,1,1,1,E-2,V,55,0.355,0.493,0.683,123.303,,
ctrl MO,1,1,2,E-2,D,63,0.373,0.462,0.676,129.242,1606,118
ctrl MO,1,1,2,E-2,V,55,0.359,0.495,0.676,132.089,,
ctrl MO,1,1,3,3,D,105,0.374,0.484,0.692,109.507,1370,149
ctrl MO,1,1,3,3,V,44,0.376,0.476,0.677,120.841,,
ctrl MO,1,1,4,5,D,97,0.377,0.483,0.697,104.117,1606,156
ctrl MO,1,1,4,5,V,59,0.393,0.458,0.69,119.121,,
ctrl MO,1,1,5,12,D,69,0.391,0.461,0.689,119.977,1613,137
ctrl MO,1,1,5,12,V,68,0.367,0.502,0.684,138.406,,
Spl MO,1,1,2,3,D,117,0.42,0.427,0.686,108.683,1486,226
Spl MO,1,1,2,3,V,109,0.396,0.442,0.677,115.451,,
Spl MO,1,1,3,11,D,93,0.443,0.401,0.687,140.436,1223,148
Spl MO,1,1,3,11,V,55,0.407,0.455,0.682,117.637,,
Spl MO,2,1,2,6,D,67,0.384,0.461,0.677,122.961,1741,113
Spl MO,2,1,2,6,V,46,0.384,0.464,0.668,110.597,,
Spl MO,2,2,3,1,D,63,0.382,0.483,0.655,135.486,1623,134
Spl MO,2,2,3,1,V,71,0.369,0.497,0.688,125.947,,
Spl MO,2,2,5,1,D,45,0.427,0.447,0.663,170.912,1584,86
Spl MO,2,2,5,1,V,41,0.367,0.498,0.713,111.874,,
uninj,1,1,2,E-5,D,66,0.406,0.459,0.704,113.163,1541,121
uninj,1,1,2,E-5,V,55,0.411,0.431,0.722,104.543,,
uninj,1,1,4,E-1,D,66,0.371,0.489,0.682,116.14,1532,101
uninj,1,1,4,E-1,V,35,0.356,0.491,0.677,127.4,,
uninj,1,1,5,14,D,77,0.364,0.499,0.677,119.117,,
uninj,1,1,5,14,V,24,0.408,0.462,0.69,123.51,,
uninj,1,2,1,E-2,D,48,0.414,0.433,0.666,125.144,1350,76
uninj,1,2,1,E-2,V,28,0.366,0.475,0.667,139.322,,
uninj,1,2,3,E-2,D,61,0.415,0.418,0.591,123.244,,
uninj,1,2,3,E-2,V,56,0.389,0.469,0.69,103.129,,
